date,time,query,response
2022-07-15,20:25:57,Entered,entered
2022-07-15,20:25:59,PRAJWAL,86.215
2022-07-15,20:26:53,Entered,entered
2022-07-15,20:26:55,PRAJWAL,84.53125
2022-07-28,11:38:40,Entered,entered
2022-07-28,11:38:42,PRAJWAL,76.23
2022-07-28,11:42:16,Entered,entered
2022-07-28,11:42:44,Entered,entered
2022-07-28,11:47:12,Entered,entered
2022-07-28,11:47:14,PRAJWAL,85.34
2022-07-28,11:51:58,Entered,entered
2022-07-28,11:52:00,PRAJWAL,85.34
2022-07-28,11:52:43,Entered,entered
2022-07-28,11:52:45,PRAJWAL,85.34
2022-07-28,11:53:13,Entered,entered
2022-07-28,11:53:15,PRAJWAL,85.34
2022-07-28,11:53:43,Entered,entered
2022-07-28,11:53:45,PRAJWAL,80.9525
2022-07-28,12:03:11,Entered,entered
2022-07-28,12:03:13,PRAJWAL,81.02
2022-07-28,12:03:49,Entered,entered
2022-07-28,12:03:51,PRAJWAL,80.02
2022-07-28,12:04:25,Entered,entered
2022-07-28,12:04:27,PRAJWAL,82.33583333333333
2022-07-28,12:24:49,Entered,entered
2022-07-28,12:24:51,PRAJWAL,74.61
2022-07-28,12:27:33,Entered,entered
2022-07-28,12:27:35,PRAJWAL,84.7925
2022-07-28,14:54:06,Entered,entered
2022-07-28,14:56:51,Entered,entered
2022-07-28,14:56:53,PRAJWAL,79.67
2022-07-28,14:57:23,Entered,entered
2022-07-28,14:57:25,PRAJWAL,70.55499999999999
2022-07-28,15:05:09,Entered,entered
2022-07-28,15:06:07,Entered,entered
2022-07-28,15:06:09,PRAJWAL,41.465
2022-07-28,15:15:22,Entered,entered
2022-07-28,15:15:24,PRAJWAL,60.62
2022-07-28,15:16:40,Entered,entered
2022-07-28,15:16:42,PRAJWAL,41.57333333333333
2022-07-28,15:19:17,Entered,entered
2022-07-28,15:19:19,OTHERS,57.38
2022-07-28,18:09:42,Entered,entered
2022-07-28,18:13:46,Entered,entered
2022-07-28,18:16:36,Entered,entered
2022-07-28,18:16:38,PRAJWAL,65.6
2022-07-28,18:23:01,Entered,entered
2022-07-28,18:23:04,OTHERS,70.39
2022-07-28,18:37:16,Entered,entered
2022-07-28,18:37:18,PRAJWAL,56.85
2022-07-28,19:40:45,Entered,entered
2022-07-28,19:42:20,Entered,entered
2022-07-28,19:46:09,Entered,entered
2022-07-28,19:46:14,PRAJWAL,67.99333333333334
2022-07-28,19:50:41,Entered,entered
2022-07-28,19:50:46,PRAJWAL,52.68857142857143
2022-07-28,20:04:47,Entered,entered
2022-07-28,20:04:52,PRAJWAL,55.019999999999996
2022-10-24,10:01:38,Entered,entered
2022-10-24,10:01:43,OTHERS,82.97
2022-10-24,10:09:53,Entered,entered
2022-10-24,10:09:58,OTHERS,61.605000000000004
2022-10-24,21:24:12,Entered,entered
2022-10-24,21:24:18,GAUTAM,33.5
2022-10-24,21:25:49,Entered,entered
2022-10-24,21:25:54,GAUTAM,44.45083333333333
2022-10-24,21:28:10,Entered,entered
2022-10-24,21:28:32,Entered,entered
2022-10-24,21:28:37,OTHERS,40.132000000000005
2022-10-24,21:29:07,Entered,entered
2022-10-24,21:30:07,Entered,entered
2022-10-24,21:30:12,OTHERS,71.32142857142857
2022-10-24,21:37:27,Entered,entered
2022-10-24,21:37:32,GAUTAM,48.42999999999999
2022-10-24,21:42:18,Entered,entered
2022-10-24,21:42:23,PRAJWAL,38.945
2022-10-24,21:43:13,Entered,entered
2022-10-24,21:43:18,GAUTAM,40.59058823529411
2022-10-25,11:19:25,Entered,entered
2022-10-25,11:19:30,OTHERS,45.951428571428565
2022-10-25,14:06:25,Entered,entered
2022-10-25,14:06:30,GAUTAM,45.555
2022-10-26,07:03:27,Entered,entered
2022-10-26,07:03:32,PRAJWAL,46.559000000000005
2022-11-01,11:50:36,Entered,entered
2022-11-01,11:50:41,GAUTAM,48.169999999999995
2022-11-03,16:01:44,Entered,entered
