date,time,query,response
2022-07-15,19:29:58,A.I,PRAJWAL
2022-07-15,19:35:49,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,19:36:01,A.I,Reading the text now
2022-07-15,19:36:04,A.I,Buy Low. Stay High
2022-07-15,19:36:17,A.I,Text: None
2022-07-15,19:38:34,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,19:39:03,A.I,Reading the text now
2022-07-15,19:39:06,A.I,"Text, Buy Low. Stay High"
2022-07-15,19:45:37,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,20:08:29,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,20:24:40,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,20:26:01,A.I,PRAJWAL
2022-07-15,20:26:04,A.I,cell phone
2022-07-15,20:26:57,A.I,PRAJWAL
2022-07-15,20:27:00,A.I,cell phone
2022-07-15,20:32:43,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,20:33:09,A.I,Temperature: 301.14 Pressure: 999 Humidity: 89 Description: haze
2022-07-15,20:33:31,A.I,Anything else sir ?
2022-07-15,20:33:46,A.I,Anything
2022-07-15,20:34:09,A.I,Anything
2022-07-15,20:34:32,A.I,Temperature: 301.14 Pressure: 999 Humidity: 89 Description: haze
2022-07-15,20:36:21,A.I,1. Sushmita Sen reacts to Lalit Modi's declaration of love: 'Not married…no rings' - The Indian Express
2022-07-15,20:36:28,A.I,2. Watch: SpaceX launches cargo mission to the ISS | SpaceX Dragon Cargo - DNAIndiaNews
2022-07-15,20:36:34,A.I,3. Astronomers detect mysterious fast radio burst with a heartbeat pattern - The Hans India
2022-07-15,20:36:45,A.I,"4. Closing Bell: Nifty ends above 16,000, Sensex gains 344 pts amid volatility; autos shine - Moneycontrol"
2022-07-15,20:36:53,A.I,5. Koffee With Karan 7: Saif Ali Khan Likes Daughter Sara's Films As Long As They Aren't... - NDTV Movies
2022-07-15,20:51:49,A.I,Temperature: 301.14 Pressure: 1000 Humidity: 89 Description: haze
2022-07-19,14:48:00,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,11:20:59,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-28,11:30:21,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-28,11:30:41,A.I,Hey! How are you?
2022-07-28,11:38:25,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-28,11:38:45,A.I,PRAJWAL
2022-07-28,11:38:59,A.I,Hello
2022-07-28,11:39:07,A.I,Hi there
2022-07-28,11:39:14,A.I,Welcome sir
2022-07-28,11:41:57,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-28,11:47:00,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-28,11:47:16,A.I,PRAJWAL
2022-07-28,11:52:02,A.I,PRAJWAL
2022-07-28,11:52:13,A.I,Hey! How are you doing?
2022-07-28,11:52:47,A.I,PRAJWAL
2022-07-28,11:53:17,A.I,PRAJWAL
2022-07-28,11:53:47,A.I,PRAJWAL
2022-07-28,11:53:57,A.I,Hey
2022-07-28,11:54:08,A.I,Hi there
2022-07-28,11:54:18,A.I,Hey! How are you doing?
2022-07-28,11:54:26,A.I,Hello
2022-07-28,11:54:44,A.I,Hey
2022-07-28,11:54:54,A.I,Hey! How are you doing?
2022-07-28,11:55:02,A.I,Welcome sir
2022-07-28,12:02:47,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,12:04:00,A.I,"Hi there, how can I help"
2022-07-28,12:04:43,A.I,Hello sir
2022-07-28,12:24:28,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,12:27:15,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,12:32:30,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,14:48:37,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,14:49:11,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,15:00:25,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,15:02:43,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,15:03:34,A.I,Prajwal
2022-07-28,15:03:35,A.I,Hey
2022-07-28,15:05:12,A.I,Prajwal
2022-07-28,15:05:14,A.I,Hi there
2022-07-28,15:05:46,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,15:06:14,A.I,You look similar to Prajwal Though I am not much sure
2022-07-28,15:06:17,A.I,Please tell me weather I am correct?
2022-07-28,15:06:24,A.I,Please provide a name
2022-07-28,15:14:59,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,15:16:13,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,15:16:33,A.I,Hello PRAJWAL
2022-07-28,15:16:46,A.I,You look similar to Prajwal Though I am not much sure
2022-07-28,15:16:49,A.I,Please tell me weather I am correct?
2022-07-28,15:16:57,A.I,"How can I amaze you?"""
2022-07-28,15:18:53,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,15:19:15,A.I,Hey! How are you doing?
2022-07-28,15:19:21,A.I,You seem new to me
2022-07-28,15:19:24,A.I,Do you want to save your face?
2022-07-28,15:19:31,A.I,what else can I do PRAJWAL ?
2022-07-28,17:55:20,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-07-28,18:02:54,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:06:04,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:09:13,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:13:25,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:16:10,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:22:35,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:23:06,A.I,You seem new to me
2022-07-28,18:23:09,A.I,Do you want to save your face?
2022-07-28,18:23:14,A.I,Please provide a name
2022-07-28,18:23:24,A.I,Thankyou prajwal
2022-07-28,18:29:18,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:32:26,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:34:59,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,18:36:56,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:04:21,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:07:16,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:13:30,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:16:27,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:17:33,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:19:57,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:21:32,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:23:22,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:26:58,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:30:20,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:32:25,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:33:37,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:35:54,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:37:12,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:38:13,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:40:20,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:42:01,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:45:24,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,19:50:20,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-28,20:04:54,A.I,PRAJWAL
2022-10-24,07:28:04,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,07:30:11,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,07:32:47,A.I,"I am doing well, thanks"
2022-10-24,07:36:11,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,07:37:07,A.I,"just, analyzing the data ,what about you ?"
2022-10-24,07:37:24,A.I,"Just gathering some data, what about you ?"
2022-10-24,07:37:53,A.I,Someone worth talking.
2022-10-24,07:41:35,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,07:41:58,A.I,That's great!
2022-10-24,07:42:28,A.I,"Fantastic, what about you ?"
2022-10-24,07:43:40,A.I,"Let me refresh your mood then, have a look here"""
2022-10-24,07:43:42,A.I,Prajwal
2022-10-24,07:43:47,A.I,https://i.imgur.com/nGF1K8f.jpg
2022-10-24,07:43:59,A.I,Here is something to cheer you up:
2022-10-24,07:44:01,A.I,Prajwal
2022-10-24,07:44:06,A.I,https://i.imgur.com/nGF1K8f.jpg
2022-10-24,07:44:23,A.I,what else can I do for you?
2022-10-24,07:44:32,A.I,"Great, carry on!"
2022-10-24,07:44:41,A.I,You want me to do something else ?
2022-10-24,07:44:51,A.I,Anything which I can do for you unknown ?
2022-10-24,07:45:24,A.I,"I am doing well, thanks"
2022-10-24,07:45:34,A.I,"absolutely good, what about you?"
2022-10-24,07:45:58,A.I,"I am fine, thanks"
2022-10-24,07:46:06,A.I,I stay on the cloud
2022-10-24,07:46:22,A.I,I am here to help you.
2022-10-24,07:46:45,A.I,"Let me refresh your mood then, have a look here"""
2022-10-24,07:46:47,A.I,Prajwal
2022-10-24,07:46:53,A.I,https://i.imgur.com/nGF1K8f.jpg
2022-10-24,07:47:14,A.I,Fantastic....!
2022-10-24,07:47:57,A.I,Bye!
2022-10-24,07:48:05,A.I,Bye!
2022-10-24,07:48:15,A.I,"Hi there, how can I help"
2022-10-24,07:48:28,A.I,Hi
2022-10-24,09:27:56,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,09:38:54,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,09:42:28,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,09:53:00,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,09:54:12,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,10:01:46,A.I,You seem new to me
2022-10-24,10:01:48,A.I,Do you want to save your face?
2022-10-24,10:09:34,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-24,10:10:00,A.I,You seem new to me
2022-10-24,10:10:03,A.I,Do you want to save your face?
2022-10-24,21:23:37,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-10-24,21:25:30,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-10-24,21:25:52,A.I,"I am a bot, powered by BSS"
2022-10-24,21:26:18,A.I,"Oops!, can I help?"
2022-10-24,21:26:49,A.I,It would be great meeting you again
2022-10-24,21:28:40,A.I,You seem new to me
2022-10-24,21:28:42,A.I,Do you want to save your face?
2022-10-24,21:30:15,A.I,You seem new to me
2022-10-24,21:30:17,A.I,Do you want to save your face?
2022-10-24,21:30:23,A.I,Please provide a name
2022-10-24,21:30:31,A.I,Thankyou Virat
2022-10-24,21:37:10,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-10-24,21:41:59,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-10-24,21:42:57,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-10-25,11:19:06,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-25,11:19:32,A.I,You seem new to me
2022-10-25,11:19:34,A.I,Do you want to save your face?
2022-10-25,11:19:59,A.I,I am here to help you with your daily activities.
2022-10-25,11:20:09,A.I,"I am a bot, powered by BSS"
2022-10-25,11:21:23,A.I,I am here to help you with your daily activities.
2022-10-25,11:21:31,A.I,"Oops!, can I help?"
2022-10-25,11:21:41,A.I,"Let me refresh your mood then, have a look here"""
2022-10-25,11:21:43,A.I,Kshitij
2022-10-25,11:21:48,A.I,https://i.imgur.com/nGF1K8f.jpg
2022-10-25,11:22:00,A.I,See you soon!
2022-10-25,14:29:07,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-10-25,14:29:55,A.I,I am your personal assistant.
2022-10-25,14:30:06,A.I,"Let me refresh your mood then, have a look here"""
2022-10-25,14:30:07,A.I,Kshitij
2022-10-25,14:30:13,A.I,https://i.imgur.com/nGF1K8f.jpg
2022-10-25,14:30:24,A.I,"Oops!, can I help?"
2022-10-25,14:30:36,A.I,Here is something to cheer you up:
2022-10-25,14:30:37,A.I,Kshitij
2022-10-25,14:30:43,A.I,https://i.imgur.com/nGF1K8f.jpg
2022-10-25,14:31:17,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-10-25,14:04:51,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-10-25,14:06:05,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-10-25,14:13:14,A.I,I am here to help you with your daily activities.
2022-10-25,14:13:27,A.I,Is there anything I can help you with?
2022-10-25,14:13:48,A.I,"How can I amaze you?"""
2022-10-25,14:14:09,A.I,Thankyou for visiting us!
2022-10-25,14:14:24,A.I,I am sorry to hear that. How can I help
2022-10-26,07:03:03,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-10-26,07:04:22,A.I,I am here to help you.
2022-10-26,07:04:32,A.I,"oh!, sorry to hear that. How can I help"
2022-10-26,07:04:41,A.I,Something went wrong?
2022-11-01,11:07:24,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-11-01,11:07:44,A.I,Stress is your body's reaction to a challenge or demand. In short bursts
2022-11-01,11:08:58,A.I,"If you are facing it from 2-3 week.
 You have to visit Doctor!!!"
2022-11-01,11:09:19,A.I,Enjoy Academics !! Complete Academic work as challenges!!
2022-11-01,11:09:51,A.I,"Try to Explore new things and skills
Play Games"
2022-11-01,11:09:59,A.I,what else can I do unknown ?
2022-11-01,11:10:12,A.I,Make TO DO list and go through it Strictly
2022-11-01,11:10:23,A.I,You just stop multitasking
2022-11-01,11:10:48,A.I,I am your personal assistant.
2022-11-01,11:11:01,A.I,"just, analyzing the data ,what about you ?"
2022-11-01,11:11:40,A.I,Try to figure out patiently.
2022-11-01,11:11:53,A.I,"If you want to solve a problem, you need to comprehend it first."
2022-11-01,11:12:19,A.I,Anything else you want me to do unknown ?
2022-11-01,11:12:37,A.I,Sleep  hygiene  must  be  maintained. Stimulants  must  be  avoided  before  sleep.
2022-11-01,11:12:56,A.I,"Oops!, can I help?"
2022-11-01,11:13:04,A.I,what else you want me to do?
2022-11-01,11:50:09,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-11-01,11:50:38,A.I,what else you want me to do?
2022-11-01,11:52:07,A.I,Drink enough water to relax your digestive System.
2022-11-01,11:55:12,A.I,"Hello Friend ,I am Raju"
2022-11-01,11:55:14,A.I,Would you like to talk to me?
2022-11-01,11:55:24,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-11-01,11:55:41,A.I,Something went wrong?
2022-11-01,11:55:53,A.I,Drink enough water to relax your digestive System.
2022-11-01,11:57:21,A.I,"Hello Friend ,I am Raju"
2022-11-01,11:57:23,A.I,Would you like to talk to me?
2022-11-01,12:01:20,A.I,"Hello Friend ,I am Raju"
2022-11-01,12:01:22,A.I,Would you like to talk to me?
2022-11-01,12:01:28,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-11-01,12:03:18,A.I,"Hello Friend ,I am Raju"
2022-11-01,12:03:20,A.I,Would you like to talk to me?
2022-11-01,21:06:19,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:06:21,A.I,Would you like to talk to me?
2022-11-01,21:07:31,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:07:33,A.I,Would you like to talk to me?
2022-11-01,21:07:39,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:09:50,A.I,Drink enough water to relax your digestive System.
2022-11-01,21:09:59,A.I,Something went wrong?
2022-11-01,21:10:15,A.I,Stress is the  physiological and behavioural response by an individual whenthey perceive a lack of equilibrium between the demands placed upon them and their ability to meet those demands
2022-11-01,21:11:18,A.I,Drink enough water to relax your digestive System.
2022-11-01,21:11:29,A.I,That's great!
2022-11-01,21:12:27,A.I,I am ready for the next one
2022-11-01,21:21:23,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:21:25,A.I,Would you like to talk to me?
2022-11-01,21:23:21,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:23:23,A.I,Would you like to talk to me?
2022-11-01,21:25:30,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:25:32,A.I,Would you like to talk to me?
2022-11-01,21:25:36,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:27:19,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:27:23,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:29:34,A.I,"Rethink how you spend your spare time , you may get solution."
2022-11-01,21:30:32,A.I,You want me to do something else ?
2022-11-01,21:31:09,A.I,"Nice time, meeting you unknown"
2022-11-01,21:34:25,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:34:30,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:35:13,A.I,Hey! How are you doing?
2022-11-01,21:35:27,A.I,"Empathy- humor, drug treatment and clinical monitoring can be helpful for aggressive persons suffering from Psychiatric disorder."
2022-11-01,21:40:13,A.I,Try to figure out patiently.
2022-11-01,21:40:26,A.I,Try to figure out patiently.
2022-11-01,21:40:35,A.I,I am here to help you.
2022-11-01,21:40:59,A.I,"How can I amaze you?"""
2022-11-01,21:41:08,A.I,what's the plan now?
2022-11-01,21:41:17,A.I,What else unknown ?
2022-11-01,21:41:29,A.I,"Follow Proper Routine.
 Make proper Timetable"
2022-11-01,21:41:40,A.I,Explore Social media.
2022-11-01,21:43:13,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:43:17,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:43:54,A.I,Simply walk away if feeling uncomfortable.
2022-11-01,21:44:12,A.I,"Empathy- humor, drug treatment and clinical monitoring can be helpful for aggressive persons suffering from Psychiatric disorder."
2022-11-01,21:44:27,A.I,"Follow Proper Routine.
 Make proper Timetable"
2022-11-01,21:47:23,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:47:25,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:47:55,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:48:10,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:48:41,A.I,"If you are facing it from 2-3 week.
 You have to visit Doctor!!!"
2022-11-01,21:49:20,A.I,I am sorry to hear that. How can I help
2022-11-01,21:49:50,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:49:55,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:50:17,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:50:22,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:51:09,A.I,"Hello Friend ,I am Raju"
2022-11-01,21:51:15,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-01,21:51:37,A.I,"Rethink how you spend your spare time , you may get solution."
2022-11-01,21:51:51,A.I,"Hi there, how can I help"
2022-11-01,21:52:03,A.I,"Talk to parents, You will feel energy."
2022-11-01,21:52:27,A.I,Pair The Pomodoro Technique With Juicy Rewards
2022-11-01,21:52:44,A.I,Something you can say or text to your parent(s) that lets them know you need out of a situation.
2022-11-01,21:53:00,A.I,"If you want to solve a problem, you need to comprehend it first."
2022-11-01,21:53:17,A.I,Stress is a feeling of emotional or physical tension.
2022-11-01,21:53:31,A.I,Dont Procastinate
2022-11-01,21:53:43,A.I,Something went wrong?
2022-11-01,21:53:57,A.I,Know purpose of your education
2022-11-03,15:35:59,A.I,"Hello Friend ,I am Raju"
2022-11-03,15:36:05,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-11-03,16:01:22,A.I,"Hello Friend ,I am Raju"
2022-11-03,16:01:27,A.I,"Good Afternoon, I'm ready. You can call me anytime"
2022-11-03,21:25:03,A.I,"Hello Friend ,I am Raju"
2022-11-03,21:25:09,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,21:26:24,A.I,"Hello Friend ,I am Raju"
2022-11-03,21:26:29,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,21:28:22,A.I,"Hello Friend ,I am Raju"
2022-11-03,21:28:28,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,21:29:00,A.I,Drink enough water to relax your digestive System.
2022-11-03,22:50:41,A.I,"Hello Friend ,I am Raju"
2022-11-03,22:50:46,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,22:51:32,A.I,Hi
2022-11-03,22:51:53,A.I,Have friends with similar values and beliefs.  It is easier to say 'no' if someone else is also saying it.  Saying “no” together makes it easier for the both of you.
2022-11-03,22:59:06,A.I,"Hello Friend ,I am Raju"
2022-11-03,22:59:12,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,23:02:33,A.I,"Hello Friend ,I am Raju"
2022-11-03,23:02:39,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,23:40:56,A.I,"Hello Friend ,I am Raju"
2022-11-03,23:41:01,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,23:42:20,A.I,cool..!
2022-11-03,23:42:33,A.I,"I am doing well, thanks"
2022-11-03,23:44:17,A.I,"Hello Friend ,I am Raju"
2022-11-03,23:44:23,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-03,23:44:57,A.I,Stress is a condition of mental pressure for particular individual facing problems from environmental and social well-being which leads to so many diseases
2022-11-04,11:50:59,A.I,"Hello Friend ,I am Raju"
2022-11-04,11:51:01,A.I,Hello Friend
2022-11-04,11:53:24,A.I,"Watching a movie, what about you ?"
2022-11-04,11:53:52,A.I,Sleep  hygiene  must  be  maintained. Stimulants  must  be  avoided  before  sleep.
2022-11-04,11:54:15,A.I,Stress is a condition of mental pressure for particular individual facing problems from environmental and social well-being which leads to so many diseases
2022-11-04,11:55:51,A.I,"Hello Friend ,I am Raju"
2022-11-04,11:55:54,A.I,Hello Friend
2022-11-04,11:56:20,A.I,"Hello Friend ,I am Raju"
2022-11-04,11:56:22,A.I,Hello Friend
2022-11-04,11:57:04,A.I,"Stress constitutes a complex process that is activated by a physical or mental threat to the individuals’ homeostasis, comprising a set of diverse psychological, physiological and behavioral responses"
2022-11-04,11:57:30,A.I,"Listen first !!
1. Don't Use mobile before sleep
2. Just Relax and listen songs or you can meditate for some time
3. Try to maintain your sleeping"
2022-11-04,23:11:43,A.I,"Hello Friend ,I am Harry!!!"
2022-11-04,23:11:45,A.I,Activated
2022-11-04,23:11:51,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-04,23:33:56,A.I,"Hello Friend ,I am Harry!!!"
2022-11-04,23:33:58,A.I,Activated
2022-11-04,23:34:03,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-11-04,23:35:24,A.I,"Be Patient, Close your Eyes."
